"platform","author","sentiment","intensity","engagement","engagement_label","created_at","context","url","text"
"github","deepanshululla","positive","0.5","0","reactions","2026-08-19T15:40:14Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36610#issuecomment-5344448189","core-utils failed on this round's new regression test: it used a 150ms absolute budget calibrated on a quiet machine, and the shared CI runner hit 233.5ms even on the fixed code. Replaced it in 8f61a843c5 with a doubling-ratio check (draining 2x values should take ~2x time for O(n), not ~4x for O(n^2)), which is stable regardless of machine speed. Re-verified it still fails on the pre-fix code (3.36x ratio) and passes on the fix."
"github","eeshsaxena","neutral","0.2","0","reactions","2026-08-19T15:33:41Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36044#issuecomment-5344366495","Looks good, narrowing to the bare base class is the right call. On 401 vs 400, I lean 401 since it's fundamentally a missing-credentials case, but either is reasonable and I'm happy to defer to whatever the maintainers prefer for #36077."
"github","mateo-berri","neutral","0.1","0","reactions","2026-08-19T15:18:28Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37448#issuecomment-5344180058","Closing as duplicate. #37444 already fixed this test and merged first, so there is nothing left here to fix."
"github","pjdurden","neutral","0.3","0","reactions","2026-08-19T14:38:45Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37291#issuecomment-5343686493","checked the P1 before changing anything. a team deployment is indexed under its own internal model_name and its public team name lives in a separate index, so resolving a group through the model_name index cant reach another teams ids. ran the same probe on base and on this branch. the plain model name gives ['shared-1'] on both. the group name gives [] on base and ['shared-1'] here. so team scope was already not consulted at that call site and this doesnt change it, it only stops the group name resolving to nothing. pushed a test pinning that, plus the docstring reword."
"github","deepanshululla","positive","0.7","0","reactions","2026-08-19T14:37:55Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/34940#issuecomment-5343676383","All automated gates are green: CI fully passing, Greptile 5/5 at current HEAD, veria-ai 0/10 risk, all 5 review threads resolved, no merge conflicts. Ready for maintainer review whenever convenient. Also re-verified the latest fix (combined messages+input degrade-to-blocking) live against a real Anthropic model with a local Lakera mock: pre-fix, a request carrying both messages and input masked in place and forwarded the input-derived text into the outgoing messages array to Anthropic; post-fix, the same request is blocked with ""Violated guardrail policy"" before any provider call."
"github","deepanshululla","positive","0.8","0","reactions","2026-08-19T14:35:12Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36657#issuecomment-5343642582","Review-loop pass complete on commit fdc9ee7fbc70 (current HEAD). **Signal check:** - CI: all checks green, none pending. - Greptile: 5/5 confidence, reviewing this exact commit (its comment is edited in place on each push — the ""Last reviewed commit"" link now points at fdc9ee7fbc70, not the 08-12 timestamp on the comment itself). - Review threads: 1/1 resolved (the litellm.callbacks monkeypatching P2, resolved with the existing test_utils.py:5019 precedent). - Merge state: `mergeable: MERGEABLE`, `mergeStateStatus: BLOCKED` — no conflicts; this is a maintainer-approval gate outside what furthe …[truncated]"
"github","deepanshululla","positive","0.5","0","reactions","2026-08-19T14:30:44Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36541#issuecomment-5343587268","Checked: empty tag value hashes safely, no crash; ModelInfo.tag_rate_limits fields are already fully typed. Thanks for reviewing!"
"github","deepanshululla","positive","0.8","0","reactions","2026-08-19T14:28:26Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36601#issuecomment-5343558044","## Review-loop pass (2026-08-19) Re-checked every termination signal fresh and independently re-verified rather than relying on the earlier verification comment: - **CI**: all 78 checks green, zero pending/skipped-that-matter (`gh pr checks`). - **Greptile**: 5/5, and `Last reviewed commit` matches current HEAD (`ca151f69ee`) — not stale. - **Review threads**: none open; no inline comments outstanding. - **Regression tests**: all 5 tests in `tests/test_litellm/llms/cerebras/test_cerebras_chat_transformation.py` re-run clean in a fresh worktree checkout. - **Independent mechanism verification** …[truncated]"
"github","Samearth17","mixed","0.6","0","reactions","2026-08-19T13:45:13Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36828#issuecomment-5343017783","Hi @yuneng-berri, Hope you're having a good week! I wanted to gently follow up on this PR when you have a moment. I've successfully addressed the greptile-apps feedback by adding a test that explicitly verifies metadata forwarding in the transformed request body, and all local tests pass. I also noticed the LiteLLM Linting / lint check is currently failing. From what I can tell, this appears to be a pre-existing repository infrastructure issue (a missing action.yml in the .github/actions/ directory) that is affecting a few other recent PRs as well, and is unrelated to the Python files changed …[truncated]"
"github","Samearth17","positive","0.7","0","reactions","2026-08-19T13:21:44Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36365#issuecomment-5342732499","Hi @ishaan-berri and @krrish-berri-2, could you please review PR 36365 when you have a moment? Summary: This fixes issue 36309 by ensuring cache_kwargs are applied even without Redis (e.g., for disk caching). I addressed the greptile bot feedback about the duplicate type argument, veria-ai confirmed no security concerns remain, and all 77 CI checks are passing. Thank you!"
